2.9517	0.0000	0.0000	0.0000
0.5000	2.8782	0.5000	0.0000
2.5371	0.0000	1.3576	1.2359
1.6893	1.6204	0.0000	3.4297
2.6356	0.0000	2.3648	0.0000
1.6669	1.1253	0.0000	2.7139
1.6204	3.0513	0.0000	0.0000
0.5000	2.5836	0.0000	0.0000
1.9209	1.8096	0.0000	1.0287
3.2575	1.0980	0.0000	0.9760
2.9256	0.0000	1.8904	1.8096
3.0962	1.0064	0.9950	0.0000
3.0758	0.0000	0.8718	0.0000
0.8375	0.5000	1.2602	2.6744
3.0210	0.0000	0.0000	1.9057
3.0754	1.3789	1.5057	1.3299
0.7250	2.7689	1.5236	0.0000
1.2634	0.9843	1.5743	0.0000
2.8444	0.0000	0.0000	1.2611
1.5641	0.8881	2.8592	1.5392
1.3789	2.8258	1.4942	0.8262
0.0000	0.0000	3.2026	1.6711
1.8211	1.0863	1.6796	0.0000
2.8174	2.1748	1.7379	0.0000
2.2975	0.0000	2.5220	0.9994
0.5000	2.6154	2.2615	1.2603
0.0000	0.0000	0.0000	2.5477
0.0000	2.8771	0.0000	0.0000
2.6866	2.5719	0.0000	1.7724
2.7251	2.4976	0.0000	2.2592
2.8105	0.0000	2.0178	0.0000
2.1043	0.0000	3.3479	0.0000
1.8582	0.0000	0.0000	2.2094
2.8169	1.6343	1.1058	0.0000
1.5491	3.2072	1.2718	0.0000
2.4921	1.7719	0.9224	2.9102
